DATE,RESPPLLOPNWW
2002-12-18,0.0
2002-12-25,0.0
2003-01-01,0.0
2003-01-08,0.0
2003-01-15,0.0
2003-01-22,0.0
2003-01-29,0.0
2003-02-05,0.0
2003-02-12,0.0
2003-02-19,0.0
2003-02-26,0.0
2003-03-05,0.0
2003-03-12,0.0
2003-03-19,0.0
2003-03-26,0.0
2003-04-02,0.0
2003-04-09,0.0
2003-04-16,0.0
2003-04-23,0.0
2003-04-30,0.0
2003-05-07,0.0
2003-05-14,0.0
2003-05-21,0.0
2003-05-28,0.0
2003-06-04,0.0
2003-06-11,0.0
2003-06-18,0.0
2003-06-25,0.0
2003-07-02,0.0
2003-07-09,0.0
2003-07-16,0.0
2003-07-23,0.0
2003-07-30,0.0
2003-08-06,0.0
2003-08-13,0.0
2003-08-20,0.0
2003-08-27,0.0
2003-09-03,0.0
2003-09-10,0.0
2003-09-17,0.0
2003-09-24,0.0
2003-10-01,0.0
2003-10-08,0.0
2003-10-15,0.0
2003-10-22,0.0
2003-10-29,0.0
2003-11-05,0.0
2003-11-12,0.0
2003-11-19,0.0
2003-11-26,0.0
2003-12-03,0.0
2003-12-10,0.0
2003-12-17,0.0
2003-12-24,0.0
2003-12-31,0.0
2004-01-07,0.0
2004-01-14,0.0
2004-01-21,0.0
2004-01-28,0.0
2004-02-04,0.0
2004-02-11,0.0
2004-02-18,0.0
2004-02-25,0.0
2004-03-03,0.0
2004-03-10,0.0
2004-03-17,0.0
2004-03-24,0.0
2004-03-31,0.0
2004-04-07,0.0
2004-04-14,0.0
2004-04-21,0.0
2004-04-28,0.0
2004-05-05,0.0
2004-05-12,0.0
2004-05-19,0.0
2004-05-26,0.0
2004-06-02,0.0
2004-06-09,0.0
2004-06-16,0.0
2004-06-23,0.0
2004-06-30,0.0
2004-07-07,0.0
2004-07-14,0.0
2004-07-21,0.0
2004-07-28,0.0
2004-08-04,0.0
2004-08-11,0.0
2004-08-18,0.0
2004-08-25,0.0
2004-09-01,0.0
2004-09-08,0.0
2004-09-15,0.0
2004-09-22,0.0
2004-09-29,0.0
2004-10-06,0.0
2004-10-13,0.0
2004-10-20,0.0
2004-10-27,0.0
2004-11-03,0.0
2004-11-10,0.0
2004-11-17,0.0
2004-11-24,0.0
2004-12-01,0.0
2004-12-08,0.0
2004-12-15,0.0
2004-12-22,0.0
2004-12-29,0.0
2005-01-05,0.0
2005-01-12,0.0
2005-01-19,0.0
2005-01-26,0.0
2005-02-02,0.0
2005-02-09,0.0
2005-02-16,0.0
2005-02-23,0.0
2005-03-02,0.0
2005-03-09,0.0
2005-03-16,0.0
2005-03-23,0.0
2005-03-30,0.0
2005-04-06,0.0
2005-04-13,0.0
2005-04-20,0.0
2005-04-27,0.0
2005-05-04,0.0
2005-05-11,0.0
2005-05-18,0.0
2005-05-25,0.0
2005-06-01,0.0
2005-06-08,0.0
2005-06-15,0.0
2005-06-22,0.0
2005-06-29,0.0
2005-07-06,0.0
2005-07-13,0.0
2005-07-20,0.0
2005-07-27,0.0
2005-08-03,0.0
2005-08-10,0.0
2005-08-17,0.0
2005-08-24,0.0
2005-08-31,0.0
2005-09-07,0.0
2005-09-14,0.0
2005-09-21,0.0
2005-09-28,0.0
2005-10-05,0.0
2005-10-12,0.0
2005-10-19,0.0
2005-10-26,0.0
2005-11-02,0.0
2005-11-09,0.0
2005-11-16,0.0
2005-11-23,0.0
2005-11-30,0.0
2005-12-07,0.0
2005-12-14,0.0
2005-12-21,0.0
2005-12-28,0.0
2006-01-04,0.0
2006-01-11,0.0
2006-01-18,0.0
2006-01-25,0.0
2006-02-01,0.0
2006-02-08,0.0
2006-02-15,0.0
2006-02-22,0.0
2006-03-01,0.0
2006-03-08,0.0
2006-03-15,0.0
2006-03-22,0.0
2006-03-29,0.0
2006-04-05,0.0
2006-04-12,0.0
2006-04-19,0.0
2006-04-26,0.0
2006-05-03,0.0
2006-05-10,0.0
2006-05-17,0.0
2006-05-24,0.0
2006-05-31,0.0
2006-06-07,0.0
2006-06-14,0.0
2006-06-21,0.0
2006-06-28,0.0
2006-07-05,0.0
2006-07-12,0.0
2006-07-19,0.0
2006-07-26,0.0
2006-08-02,0.0
2006-08-09,0.0
2006-08-16,0.0
2006-08-23,0.0
2006-08-30,0.0
2006-09-06,0.0
2006-09-13,0.0
2006-09-20,0.0
2006-09-27,0.0
2006-10-04,0.0
2006-10-11,0.0
2006-10-18,0.0
2006-10-25,0.0
2006-11-01,0.0
2006-11-08,0.0
2006-11-15,0.0
2006-11-22,0.0
2006-11-29,0.0
2006-12-06,0.0
2006-12-13,0.0
2006-12-20,0.0
2006-12-27,0.0
2007-01-03,0.0
2007-01-10,0.0
2007-01-17,0.0
2007-01-24,0.0
2007-01-31,0.0
2007-02-07,0.0
2007-02-14,0.0
2007-02-21,0.0
2007-02-28,0.0
2007-03-07,0.0
2007-03-14,0.0
2007-03-21,0.0
2007-03-28,0.0
2007-04-04,0.0
2007-04-11,0.0
2007-04-18,0.0
2007-04-25,0.0
2007-05-02,0.0
2007-05-09,0.0
2007-05-16,0.0
2007-05-23,0.0
2007-05-30,0.0
2007-06-06,0.0
2007-06-13,0.0
2007-06-20,0.0
2007-06-27,0.0
2007-07-04,0.0
2007-07-11,0.0
2007-07-18,0.0
2007-07-25,0.0
2007-08-01,0.0
2007-08-08,0.0
2007-08-15,0.0
2007-08-22,0.0
2007-08-29,0.0
2007-09-05,0.0
2007-09-12,0.0
2007-09-19,0.0
2007-09-26,0.0
2007-10-03,0.0
2007-10-10,0.0
2007-10-17,0.0
2007-10-24,0.0
2007-10-31,0.0
2007-11-07,0.0
2007-11-14,0.0
2007-11-21,0.0
2007-11-28,0.0
2007-12-05,0.0
2007-12-12,0.0
2007-12-19,0.0
2007-12-26,0.0
2008-01-02,0.0
2008-01-09,0.0
2008-01-16,0.0
2008-01-23,0.0
2008-01-30,0.0
2008-02-06,0.0
2008-02-13,0.0
2008-02-20,0.0
2008-02-27,0.0
2008-03-05,0.0
2008-03-12,0.0
2008-03-19,0.0
2008-03-26,0.0
2008-04-02,0.0
2008-04-09,0.0
2008-04-16,0.0
2008-04-23,0.0
2008-04-30,0.0
2008-05-07,0.0
2008-05-14,0.0
2008-05-21,0.0
2008-05-28,0.0
2008-06-04,0.0
2008-06-11,0.0
2008-06-18,0.0
2008-06-25,0.0
2008-07-02,0.0
2008-07-09,0.0
2008-07-16,0.0
2008-07-23,0.0
2008-07-30,0.0
2008-08-06,0.0
2008-08-13,0.0
2008-08-20,0.0
2008-08-27,0.0
2008-09-03,0.0
2008-09-10,0.0
2008-09-17,0.0
2008-09-24,0.0
2008-10-01,0.0
2008-10-08,0.0
2008-10-15,0.0
2008-10-22,0.0
2008-10-29,0.0
2008-11-05,0.0
2008-11-12,0.0
2008-11-19,0.0
2008-11-26,0.0
2008-12-03,0.0
2008-12-10,0.0
2008-12-17,0.0
2008-12-24,0.0
2008-12-31,0.0
2009-01-07,0.0
2009-01-14,0.0
2009-01-21,0.0
2009-01-28,0.0
2009-02-04,0.0
2009-02-11,0.0
2009-02-18,0.0
2009-02-25,0.0
2009-03-04,0.0
2009-03-11,0.0
2009-03-18,0.0
2009-03-25,0.0
2009-04-01,0.0
2009-04-08,0.0
2009-04-15,0.0
2009-04-22,0.0
2009-04-29,0.0
2009-05-06,0.0
2009-05-13,0.0
2009-05-20,0.0
2009-05-27,0.0
2009-06-03,0.0
2009-06-10,0.0
2009-06-17,0.0
2009-06-24,0.0
2009-07-01,0.0
2009-07-08,0.0
2009-07-15,0.0
2009-07-22,0.0
2009-07-29,0.0
2009-08-05,0.0
2009-08-12,0.0
2009-08-19,0.0
2009-08-26,0.0
2009-09-02,0.0
2009-09-09,0.0
2009-09-16,0.0
2009-09-23,0.0
2009-09-30,0.0
2009-10-07,0.0
2009-10-14,0.0
2009-10-21,0.0
2009-10-28,0.0
2009-11-04,0.0
2009-11-11,0.0
2009-11-18,0.0
2009-11-25,0.0
2009-12-02,0.0
2009-12-09,0.0
2009-12-16,0.0
2009-12-23,0.0
2009-12-30,0.0
2010-01-06,0.0
2010-01-13,0.0
2010-01-20,0.0
2010-01-27,0.0
2010-02-03,0.0
2010-02-10,0.0
2010-02-17,0.0
2010-02-24,0.0
2010-03-03,0.0
2010-03-10,0.0
2010-03-17,0.0
2010-03-24,0.0
2010-03-31,0.0
2010-04-07,0.0
2010-04-14,0.0
2010-04-21,0.0
2010-04-28,0.0
2010-05-05,0.0
2010-05-12,0.0
2010-05-19,0.0
2010-05-26,0.0
2010-06-02,0.0
2010-06-09,0.0
2010-06-16,0.0
2010-06-23,0.0
2010-06-30,0.0
2010-07-07,0.0
2010-07-14,0.0
2010-07-21,0.0
2010-07-28,0.0
2010-08-04,0.0
2010-08-11,0.0
2010-08-18,0.0
2010-08-25,0.0
2010-09-01,0.0
2010-09-08,0.0
2010-09-15,0.0
2010-09-22,0.0
2010-09-29,0.0
2010-10-06,0.0
2010-10-13,0.0
2010-10-20,0.0
2010-10-27,0.0
2010-11-03,0.0
2010-11-10,0.0
2010-11-17,0.0
2010-11-24,0.0
2010-12-01,0.0
2010-12-08,0.0
2010-12-15,0.0
2010-12-22,0.0
2010-12-29,0.0
2011-01-05,613.0
2011-01-12,1204.0
2011-01-19,2895.0
2011-01-26,1292.0
2011-02-02,2047.0
2011-02-09,1263.0
2011-02-16,830.0
2011-02-23,1803.0
2011-03-02,1845.0
2011-03-09,1412.0
2011-03-16,2176.0
2011-03-23,1572.0
2011-03-30,1133.0
2011-04-06,1401.0
2011-04-13,2032.0
2011-04-20,1668.0
2011-04-27,3644.0
2011-05-04,2035.0
2011-05-11,1165.0
2011-05-18,1442.0
2011-05-25,1378.0
2011-06-01,1999.0
2011-06-08,2015.0
2011-06-15,835.0
2011-06-22,2014.0
2011-06-29,1411.0
2011-07-06,2268.0
2011-07-13,1702.0
2011-07-20,1689.0
2011-07-27,-672.0
2011-08-03,-77.0
2011-08-10,536.0
2011-08-17,1502.0
2011-08-24,1359.0
2011-08-31,1329.0
2011-09-07,1031.0
2011-09-14,1368.0
2011-09-21,1501.0
2011-09-28,1297.0
2011-10-05,1058.0
2011-10-12,2125.0
2011-10-19,1483.0
2011-10-26,-661.0
2011-11-02,-203.0
2011-11-09,614.0
2011-11-16,1215.0
2011-11-23,1125.0
2011-11-30,1170.0
2011-12-07,1550.0
2011-12-14,922.0
2011-12-21,1632.0
2011-12-28,1351.0
2012-01-04,984.0
2012-01-11,1307.0
2012-01-18,1770.0
2012-01-25,1596.0
2012-02-01,1712.0
2012-02-08,960.0
2012-02-15,948.0
2012-02-22,1320.0
2012-02-29,2172.0
2012-03-07,1410.0
2012-03-14,1264.0
2012-03-21,1806.0
2012-03-28,1667.0
2012-04-04,1235.0
2012-04-11,1929.0
2012-04-18,1431.0
2012-04-25,3664.0
2012-05-02,2218.0
2012-05-09,1700.0
2012-05-16,1309.0
2012-05-23,1809.0
2012-05-30,1519.0
2012-06-06,1678.0
2012-06-13,1762.0
2012-06-20,1899.0
2012-06-27,1238.0
2012-07-04,3696.0
2012-07-11,1033.0
2012-07-18,1754.0
2012-07-25,2117.0
2012-08-01,2007.0
2012-08-08,1439.0
2012-08-15,1288.0
2012-08-22,2013.0
2012-08-29,1840.0
2012-09-05,1363.0
2012-09-12,1895.0
2012-09-19,1599.0
2012-09-26,1417.0
2012-10-03,1514.0
2012-10-10,1734.0
2012-10-17,1558.0
2012-10-24,2007.0
2012-10-31,1504.0
2012-11-07,1380.0
2012-11-14,1470.0
2012-11-21,2141.0
2012-11-28,1429.0
2012-12-05,2225.0
2012-12-12,1403.0
2012-12-19,2061.0
2012-12-26,1157.0
2013-01-02,461.0
2013-01-09,1030.0
2013-01-16,1220.0
2013-01-23,1051.0
2013-01-30,643.0
2013-02-06,931.0
2013-02-13,1273.0
2013-02-20,998.0
2013-02-27,1064.0
2013-03-06,1358.0
2013-03-13,1317.0
2013-03-20,1341.0
2013-03-27,1290.0
2013-04-03,1535.0
2013-04-10,1299.0
2013-04-17,1690.0
2013-04-24,1655.0
2013-05-01,1809.0
2013-05-08,1466.0
2013-05-15,672.0
2013-05-22,1576.0
2013-05-29,1551.0
2013-06-05,1970.0
2013-06-12,2184.0
2013-06-19,1499.0
2013-06-26,523.0
2013-07-03,1630.0
2013-07-10,1241.0
2013-07-17,1731.0
2013-07-24,1486.0
2013-07-31,1276.0
2013-08-07,1907.0
2013-08-14,1490.0
2013-08-21,1670.0
2013-08-28,1391.0
2013-09-04,1444.0
2013-09-11,1719.0
2013-09-18,1757.0
2013-09-25,1711.0
2013-10-02,1915.0
2013-10-09,1715.0
2013-10-16,1313.0
2013-10-23,2255.0
2013-10-30,1562.0
2013-11-06,1392.0
2013-11-13,1740.0
2013-11-20,1596.0
2013-11-27,1944.0
2013-12-04,1460.0
2013-12-11,2094.0
2013-12-18,1593.0
2013-12-25,3226.0
2014-01-01,2852.0
2014-01-08,1999.0
2014-01-15,1755.0
2014-01-22,2012.0
2014-01-29,1981.0
2014-02-05,3357.0
2014-02-12,1427.0
2014-02-19,2087.0
2014-02-26,1620.0
2014-03-05,2409.0
2014-03-12,2226.0
2014-03-19,2120.0
2014-03-26,1680.0
2014-04-02,1725.0
2014-04-09,2337.0
2014-04-16,1902.0
2014-04-23,2087.0
2014-04-30,2102.0
2014-05-07,2256.0
2014-05-14,2042.0
2014-05-21,1931.0
